_id,Nr_Boczny,Nr_Rej,Brygada,Nazwa_Linii,Ostatnia_Pozycja_Szerokosc,Ostatnia_Pozycja_Dlugosc,Data_Aktualizacji
176,8073,DW73679,13608,None,51.1488876342773,17.0219497680664,2017-09-04 22:54:40
177,8074,DW73678,0,None,51.1497116088867,17.0226669311523,2018-05-16 06:39:07
178,8075,DW73680,13108,None,51.1497116088867,17.0230827331543,2018-10-04 22:19:10
179,8076,DW73590,A05,None,51.148120880127,17.0224590301514,2019-07-29 17:56:07
180,8077,DW73591,13610,136,51.042911529541,16.8880081176758,2018-03-25 18:34:52
181,8078,DW73806,14403,144,51.1486015319824,17.0208377838135,2019-10-16 18:54:14
182,8079,DW73807,K05,None,51.1495475769043,17.0229187011719,2019-10-03 12:21:07
183,8080,DW73809,D04,None,51.1487274169922,17.0216121673584,2018-03-06 08:18:01
184,8081,DW73810,13102,None,51.1487350463867,17.0215721130371,2018-03-06 07:50:16
185,8082,DW73811,10210,None,51.1498680114746,17.0227851867676,2018-04-25 03:50:38
186,8083,DW73812,,None,51.1497993469238,17.0224304199219,2018-05-07 17:17:15
187,8084,DW73813,,None,51.1475067138672,17.0226249694824,2018-06-09 19:57:10
188,8085,DW73814,13216,132,51.1496353149414,17.0230579376221,2019-10-17 01:27:54
189,8086,DW86343,K04,None,51.1495628356934,17.0228118896484,2019-10-03 07:55:16
190,8087,DW86341,13406,None,51.1486053466797,17.022798538208,2019-10-15 10:43:32
191,8088,DW86342,13213,132,51.1495018005371,17.0227241516113,2019-10-12 07:13:15
192,8089,DW86337,11905,119,51.1495056152344,17.0227642059326,2018-10-17 15:16:29
193,8090,DW118GE,10211,None,51.1495056152344,17.0228233337402,2018-10-18 14:58:27
194,8091,DW0037E,A06,None,51.1483993530273,17.0223350524902,2019-10-12 07:40:08
195,8092,DW0045E,13403,134,51.1487617492676,17.0229663848877,2019-10-14 13:05:57
